かん木,2,
か働,6,
か納,1,
がいしゅつ,6,
がいせん,137,
がいよう,5,
がかい,73,
がき,872,
がぎゅう,6,
がく,1142,
がくし,103,
がく然,4,
がけ,1065,
がけっぷち,2,
がさ,279,
がざみ,1,
がしょう,48,
がせ,77,
がた,2840,
がたがた,145,
がたぴし,29,
がた落ち,5,
がちゃがちゃ,64,
がってん,79,
がっぴょう,1,
がっぺい,5,
がっぽん,1,
がてん,250,
がに股,6,
がぶ飲み,8,
がま,639,
がまん,495,
がま口,13,
がめ,264,
がら,1462,
がらがら,185,
がらがら蛇,2,
がらくた,154,
がらっぱち,1,
がらん,540,
がらんどう,81,
がら空き,15,
がり,547,
がれ,688,
がれき,49,
がん,1995,
がんがん,16,
がんこう,28,
がんさく,2,
がんじがらめ,20,
がんそう,3,
がんぞう,15,
がんみ,33,
がんろう,26,
がん味,1,
がん造,2,
が床,12,
が解,45,
きい,770,
きいきい声,14,
きかん坊,5,
きが,806,
きき,876,
きぎ,276,
きく,530,
きくらげ,11,
きぐ,186,
きぐう,44,
きこう,141,
きごう,40,
きさく,70,
きささげ,3,
きさらぎ,55,
きざはし,109,
きざ柿,2,
きし,958,
きしゃご,5,
きしょう,180,
きじ,488,
きすう,50,
きずな,116,
きせる,448,
きせん,75,
きそん,60,
きた,955,
きたきり雀,1,
きたん,143,
きち,1177,
きちょうめん,94,
きちょう面,1,
きっかい,23,
きっかけ,448,
きっきょう,26,
きっこう,54,
きっぷ,33,
きつつき,50,
きつね,376,
きつりつ,51,
きとう,282,
きなか,31,
きなこ,76,
きな粉,5,
きぬがさ,32,
きぬぎぬ,35,
きねづか,21,
きのこ,225,
きはい,32,
きば,586,
きまぐれ,11,
きまり,872,
きめ手,4,
きもっ玉,2,
きもの,1060,
きゃく,256,
きゃっか,12,
きゅう,1236,
きゅうこう,39,
きゅうごう,44,
きゅうしゅ,23,
きゅうじ,66,
きゅうじゅつ,8,
きゅうじょ,18,
きゅうす,29,
きゅうだん,14,
きゅうめい,54,
きゅうもん,36,
きゅうり,226,
きゅう覚,1,
きょうか,44,
きょうがい,90,
きょうがく,122,
きょうく,55,
きょうげき,14,
きょうごう,10,
きょうさつ,8,
きょうしゅ,33,
きょうす,7,
きょうせい,69,
きょうそう,49,
きょうどう,37,
きょうばい,3,
きょき,32,
きょきん,10,
きょく,368,
きょくせき,18,
きょざ,4,
きょしゅつ,6,
きょっかい,2,
きょろきょろ,142,
きらく,52,
きらず,8,
きらら,81,
きり,2240,
きりきり舞い,21,
きりぎりす,108,
きりこガラス,5,
きりん,119,
きれい事,4,
きわみ,61,
きん,2051,
きんか,83,
きんかん,36,
きんきじゃくやく,4,
きんこ,124,
きんしゅ,48,
きんせん,46,
きんちょう,58,
きんてん,14,
きんとき,19,
きんぱく,64,
きんぼ,21,
きんもくせい,3,
き傷,2,
き戯,4,
き損,5,
き死,45,
き然,1,
き知,6,
ぎく,265,
ぎくしゃく,1,
ぎざぎざ,46,
ぎすぎす,1,
ぎそう,38,
ぎっくり腰,2,
ぎっちょ,10,
ぎまん,58,
ぎゃく,288,
ぎゃくと,10,
ぎゃっこう,5,
ぎゅうひ,3,
ぎゅう詰め,2,
ぎょうが,49,
ぎょうずい,53,
ぎょうぼう,25,
ぎょしゃ,74,
ぎりぎり,9,
ぎん,768,
ぎんしょう,6,
ぎんなん,29,
ぎんぽ,1,
くいしん坊,1,
くいな,37,
くかたち,1,
くぎ,418,
くぎかくし,2,
くぎづけ,36,
くぎ付け,1,
くぐつ,114,
くさがめ,1,
くさび,115,
くさや,41,
くさり,236,
くされ縁,11,
くし,1973,
くしゃみ,116,
くじ,971,
くじゃく,107,
くじゅ,37,
くじゅう,29,
くじら,107,
くじ引き,12,
くじ運,1,
くすし,35,
くすり,310,
くす玉,2,
くず,697,
くずかご,40,
くず鉄,1,
くず餅,1,
くせ,754,
くせ者,16,
くそ力,6,
くそ度胸,5,
くたばり損ない,2,
くだ,1233,
くだかけ,4,
くだもの,145,
くだり,272,
くだん,379,
くちなし,71,
くちばし,356,
くちびる,479,
くちゃくちゃ,32,
くっきょく,3,
くっさく,4,
くっしん,5,
くっせつ,6,
くったく,63,
くっぷく,4,
くつ,1872,
くつした,51,
くつ下,23,
くど,383,
くどき,42,
くに,1555,
くにぶり,16,
くの一,7,
くびっぴき,1,
くぼち,55,
くま,1338,
くみ,443,
くみ取り,3,
くも,1729,
くもりガラス,10,
くもん,273,
くやしさ,7,
くやし泣き,11,
くやし涙,22,
くよくよ,139,
くら,3013,
くらくら,129,
くらげ,136,
くらし,432,
くらぶ,70,
くり,2027,
くりくり,59,
くるぶし,95,
くるみ,219,
くろうと,211,
くろがね,78,
くろみ,13,
くろダイヤ,2,
くろパン,1,
くろビール,1,
くわい,257,
くんじょう,3,
ぐい飲み,1,
ぐうたら,52,
ぐうもく,2,
ぐしょぬれ,3,
ぐしょ濡れ,15,
ぐずう,5,
ぐち,1553,
ぐぶ,64,
ぐほう,6,
ぐみ,391,
ぐりぐり,29,
ぐりはま,2,
ぐる,1410,
ぐるり,164,
ぐれはま,6,
ぐろう,88,
ぐわい,167,
ぐんせい,13,
けい,1835,
けいかん,31,
けいがん,110,
けいけん,172,
けいこ,478,
けいこごと,6,
けいざい,11,
けいでんき,1,
けいばい,2,
けいばく,6,
けいふう,2,
けいべつ,304,
けいもう,16,
けいら,43,
けいれん,265,
けい古,8,
けが,934,
けがれ,84,
けが人,14,
けさ,1159,
けし,561,
けしからん,223,
けしき,721,
けしゴム,1,
けじめ,160,
けたい,82,
けち,637,
けちん坊,9,
けっか,59,
けっかい,20,
けっき,138,
けっきょ,87,
けっきん,2,
けっこう,4,
けっこん,79,
